Level Number,Solving Time (seconds),Attempted Permutations,Total Possible Permutations,Percentage of Attempted Permutations
Level 001,0,14,52,26.92
Level 002,0,1,2862,0.03
Level 003,0,88,2652,3.32
Level 004,0,106,2756,3.85
Level 005,0,1772,110544,1.60
Level 006,0,4,2652,0.15
Level 007,0,10684,91080,11.73
Level 008,0,637,185136,0.34
Level 009,0,12176,117600,10.35
Level 010,0,64071,166320,38.52
Level 011,0,1241,63960,1.94
Level 012,0,9982,3258024,0.31
Level 013,14,13136531,379501200,3.46
Level 014,279,267814323,8835488640,3.03
Level 015,124,116198241,93963542400,0.12
Level 018,1,1346947,11703240,11.51
Level 020,496,411962289,20872566000,1.97
Level 021,44,37950177,502452720,7.55
Level 026,0,36151,89927760,0.04
